web-scraper-order,web-scraper-start-url,link,link-href
"1717581725-64","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=25","Ellwangen: Özdemir verteidigt seine Agrarpolitik vor protestierenden Bauern","https://www.zeit.de/politik/deutschland/2024-01/bauernproteste-oezdemir-verteidigt-agrarpolitik-ellwangen"
"1717581725-65","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=25","Proteste der Landwirte: Die Wut reicht tiefer","https://www.zeit.de/2024/03/proteste-landwirte-bremen-agrardiesel-landwirtschaftspolitik"
"1717581725-66","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=25","Alexander Gallas über Streiks: ""In Zeiten hoher Beschäftigung sind die Menschen risikobereiter""","https://www.zeit.de/arbeit/2024-01/alexander-gallas-streiks-deutschland-arbeitskampf"
"1717581725-67","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=25","Cem Özdemir: Erst Buhrufe, dann Beifall","https://www.zeit.de/politik/deutschland/2024-01/oezdemir-landwirte-subventionen-buergerdialog-gruene"
"1717581725-68","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=25","Schlüttsiel: Wer organisierte die Blockade gegen Habeck?","https://www.zeit.de/politik/deutschland/2024-01/bauern-schluettsiel-habeck-rechte-demonstration"
"1717581725-69","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=25","Bauernproteste: Wüst fordert Agrarallianz, Özdemir warnt vor Verhältnissen wie in USA","https://www.zeit.de/politik/deutschland/2024-01/wuest-oezdemir-landwirtschaft-gremium-grundsatzdebatte"
"1717581725-70","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=25","Bahn-Tarifstreit: Lokführer bestreiken Personenverkehr","https://www.zeit.de/mobilitaet/2024-01/bahnstreik-begonnen-gdl-tarifkonflikt"
"1717581727-71","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=24","&#34;Was jetzt? – Die Woche&#34;: Demowoche in Deutschland – wann ist Arbeitskampf zu viel?","https://www.zeit.de/politik/2024-01/bauernproteste-bahnstreiks-david-gutensohn-was-jetzt-livesendung"
"1717581727-72","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=24","Nachrichtenpodcast: Die AfD und die Superreichen","https://www.zeit.de/politik/2024-01/rechtsextreme-treffen-potsdam-afd-nachrichtenpodcast"
"1717581727-73","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=24","Thüringen: Kot-Attacke auf Büro von ehemaliger Linkenvorsitzenden Hennig-Wellsow","https://www.zeit.de/politik/deutschland/2024-01/susanne-hennig-wellsow-wahlkreisbuero-attacke-faekalien-polizei"
"1717581727-74","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=24","AfD-Geheimtreffen: Was geschieht, das können alle sehen","https://www.zeit.de/politik/deutschland/2024-01/afd-geheimtreffen-potsdam-faschismus"
